id,postcode,latitude,longitude
328,AB21 7DG,57.209424,-2.180511
329,AB21 7DH,57.210760,-2.186422
330,AB21 7DJ,57.210086,-2.186568
331,AB21 7DL,57.208582,-2.189060
332,AB21 7DN,57.208152,-2.188280
333,AB21 7DQ,57.206315,-2.190902
334,AB21 7DR,57.204408,-2.192696
335,AB21 7DS,57.204011,-2.194019
336,AB21 7DT,57.202693,-2.192158
337,AB21 7DU,57.200478,-2.203637
338,AB21 7DW,57.200900,-2.190047
339,AB21 7DX,57.202680,-2.188980
340,AB21 7DY,57.202403,-2.188283
341,AB21 7DZ,57.196403,-2.177320
342,AB21 7EA,57.197985,-2.176434
343,AB21 7EB,57.202377,-2.187373
344,AB21 7ED,57.202778,-2.189742
345,AB21 7EE,57.203588,-2.188505
346,AB21 7EG,57.205133,-2.194422
347,AB21 7EH,57.204002,-2.187961
348,AB21 7EJ,57.203944,-2.190493
349,AB21 7EL,57.204406,-2.187963
350,AB21 7EN,57.203707,-2.186949
351,AB21 7EP,57.205359,-2.187570
352,AB21 7EQ,57.212307,-2.190784
353,AB21 7ER,57.211105,-2.189851
354,AB21 7ES,57.209812,-2.189199
355,AB21 7ET,57.210378,-2.189351
357,AB21 7EW,57.205199,-2.186196
358,AB21 7EX,57.212319,-2.188864
359,AB21 7EY,57.213773,-2.189798
360,AB21 7EZ,57.197995,-2.186391
361,AB21 7FA,57.204339,-2.185115
362,AB21 7FB,57.205065,-2.185880
363,AB21 7FD,57.205149,-2.183547
364,AB21 7FE,57.203754,-2.185328
365,AB21 7FF,57.203127,-2.184613
366,AB21 7FG,57.202642,-2.184197
367,AB21 7FH,57.203669,-2.182414
368,AB21 7FJ,57.203465,-2.180890
369,AB21 7FL,57.200294,-2.186684
370,AB21 7FN,57.201139,-2.186357
371,AB21 7FP,57.201022,-2.180432
372,AB21 7FQ,57.201421,-2.184157
373,AB21 7FR,57.201900,-2.182174
374,AB21 7FS,57.202101,-2.179295
375,AB21 7FT,57.202938,-2.178504
376,AB21 7FU,57.203003,-2.176734
377,AB21 7FW,57.202178,-2.175786
378,AB21 7FX,57.202311,-2.183583
379,AB21 7FY,57.201298,-2.181856
380,AB21 7FZ,57.202601,-2.175325
381,AB21 7GA,57.196935,-2.186170
382,AB21 7GB,57.194864,-2.185818
383,AB21 7GD,57.197560,-2.188573
384,AB21 7GF,57.192815,-2.184247
385,AB21 7GH,57.213452,-2.187892
386,AB21 7GJ,57.212508,-2.188335
387,AB21 7GL,57.205910,-2.191248
388,AB21 7GN,57.197643,-2.183730
389,AB21 7GQ,57.198723,-2.191806
390,AB21 7HF,57.211043,-2.183196
391,AB21 7HG,57.198232,-2.180043
392,AB21 7JJ,57.208663,-2.178322
393,AB21 7JL,57.208981,-2.179957
394,AB21 7JN,57.207419,-2.179403
395,AB21 7JP,57.207659,-2.181341
396,AB21 7JQ,57.207416,-2.181605
397,AB21 7JR,57.207146,-2.181703
398,AB21 7JS,57.206904,-2.181818
399,AB21 7JT,57.206634,-2.181899
400,AB21 7JU,57.207759,-2.180349
401,AB21 7JW,57.208234,-2.180914
402,AB21 7JX,57.208199,-2.180367
403,AB21 7JY,57.207996,-2.178314
404,AB21 7JZ,57.208596,-2.179028
405,AB21 7LA,57.210984,-2.180580
406,AB21 7LB,57.210151,-2.178457
407,AB21 9PE,57.178185,-2.169222
408,BB1 3HJ,53.753322,-2.450445
409,BB1 3HL,53.750016,-2.456991
410,BB1 3HN,53.751702,-2.453370
411,BB1 3HP,53.756595,-2.450040
412,BB1 3HQ,53.749799,-2.459916
413,BB1 3HR,53.753952,-2.445417
414,BB1 3HT,53.758933,-2.446591
415,BB1 3HU,53.754981,-2.450553
416,BB1 3HW,53.752422,-2.448418
417,BB1 3HY,53.751487,-2.445177
418,BB1 3JA,53.752298,-2.444655
419,BB1 3JB,53.751611,-2.445785
420,BB1 3JD,53.749095,-2.443835
421,BB1 3JL,53.749617,-2.455592
422,BB1 3JP,53.748617,-2.453259
423,BB1 3JR,53.748789,-2.451215
424,BB1 3JS,53.748981,-2.452825
425,BB1 3JT,53.750050,-2.452973
426,BB1 3JU,53.750243,-2.451139
427,BB1 3JW,53.749100,-2.454585
428,BB1 3JX,53.750946,-2.451360
429,BB1 3JY,53.749126,-2.450021
430,BB1 3JZ,53.749800,-2.447541
431,BB1 3LA,53.748217,-2.447919
432,BB1 3LB,53.749099,-2.447549
433,BB1 3LD,53.751251,-2.446677
434,BB1 3LE,53.752088,-2.448612
435,BB1 3LF,53.751560,-2.448182
436,BB1 3LG,53.751468,-2.450941
437,BB1 3LH,53.749409,-2.448887
438,BB1 3LJ,53.748102,-2.449768
439,BB1 3LL,53.749163,-2.452114
440,BB1 3LN,53.749891,-2.452258
441,BB1 3LP,53.746318,-2.438967
442,BB1 3LQ,53.750630,-2.449264
443,BB1 3LR,53.746914,-2.438049
444,BB1 3LS,53.750503,-2.429168
445,BB1 3LU,53.749042,-2.433885
446,BB1 3LW,53.745978,-2.438539
447,BB1 3LX,53.747822,-2.435617
448,BB1 3LY,53.748856,-2.433186
449,BB1 3LZ,53.748596,-2.432925
450,BB1 3NA,53.747860,-2.435026
451,BB1 3NB,53.747921,-2.433252
452,BB1 3ND,53.747579,-2.433249
453,BB1 3NG,53.747004,-2.433061
454,BB1 3NH,53.747556,-2.437161
455,BB1 3NJ,53.748536,-2.436913
456,BB1 3NN,53.748302,-2.442006
457,BB1 3NP,53.749946,-2.442311
458,BB1 3NQ,53.748092,-2.437500
459,BB1 3NR,53.749751,-2.443263
460,BB1 3NS,53.749019,-2.442574
461,BB1 3NT,53.759573,-2.449162
462,BB1 3NU,53.762649,-2.450149
463,BB1 3NW,53.749339,-2.441031
464,BB1 3NY,53.747925,-2.441076
467,BB1 4AA,53.770563,-2.460960
468,BB1 4AB,53.774784,-2.448308
469,BB1 4AD,53.781209,-2.446464
470,BB1 4AE,53.787631,-2.452391
471,BB1 4AF,53.785834,-2.465438
472,BB1 4AG,53.782237,-2.464444
473,BB1 4AH,53.778411,-2.427405
474,BB1 4AJ,53.776923,-2.417617
475,BB1 4AL,53.772393,-2.425386
476,BB1 4AN,53.775767,-2.408851
477,BB1 4AP,53.772248,-2.438281
478,BB1 4AQ,53.776359,-2.462133
479,BB1 4AR,53.760988,-2.426121
480,BB1 4AS,53.755852,-2.426387
481,BB1 4AT,53.766350,-2.443529
482,BB1 4AU,53.758495,-2.441187
483,BB1 4AW,53.763021,-2.423168
485,BB1 4BH,53.764579,-2.427128
486,BB1 4BJ,53.765532,-2.427108
487,BB1 4BL,53.765475,-2.425393
488,BB1 4BN,53.765669,-2.426608
489,BB1 4BP,53.766353,-2.426373
490,BB1 4BQ,53.765161,-2.427876
491,BB1 4BS,53.766521,-2.422096
492,BB1 4BW,53.765960,-2.425640
493,BB1 4BX,53.766956,-2.423602
494,BB1 4BY,53.766648,-2.424297
495,BB1 4BZ,53.767333,-2.420709
496,BB1 4DA,53.768006,-2.421383
497,BB1 4DB,53.767660,-2.422745
498,BB1 4DD,53.767970,-2.418879
499,BB1 4DG,53.768177,-2.418881
500,BB1 4DH,53.769273,-2.418862
501,BB1 4DJ,53.769652,-2.418577
502,BB1 4DL,53.769002,-2.416735
503,BB1 4DR,53.769182,-2.419255
504,BB1 4DS,53.769325,-2.419484
505,BB1 4DT,53.769968,-2.420614
506,BB1 4DU,53.769881,-2.417229
507,BB1 4DW,53.769209,-2.416798
508,BB1 4DX,53.770437,-2.417690
509,BB1 4DY,53.770659,-2.418405
510,BB1 4DZ,53.770922,-2.420365
511,BB1 4EA,53.770773,-2.420940
512,BB1 4EB,53.771348,-2.422008
513,BB1 4ED,53.770890,-2.418422
514,BB1 4EE,53.770845,-2.416708
515,BB1 4EF,53.769175,-2.416069
516,BB1 4EG,53.768098,-2.423508
517,BB1 4EH,53.766255,-2.428480
518,BB1 4EJ,53.766972,-2.426546
519,BB1 4EL,53.768698,-2.421557
520,BB1 4EN,53.767588,-2.425384
521,BB1 4EP,53.768289,-2.420233
522,BB1 4ER,53.762126,-2.432094
523,BB1 4ES,53.764691,-2.421061
524,BB1 4ET,53.763724,-2.432596
525,BB1 4EU,53.764857,-2.425007
526,BB1 4EX,53.763730,-2.425952
527,BB1 4EY,53.764271,-2.425290
528,BB1 4EZ,53.764717,-2.423625
530,BB1 4HA,53.764767,-2.422443
531,BB1 4HB,53.766375,-2.420001
532,BB1 4HD,53.766789,-2.419929
533,BB1 4HF,53.765981,-2.419620
534,BB1 4HG,53.762878,-2.415067
535,BB1 4HH,53.764307,-2.417872
536,BB1 4HJ,53.764220,-2.416855
537,BB1 4HL,53.765017,-2.417667
538,BB1 4HN,53.764233,-2.415808
539,BB1 4HP,53.765067,-2.418941
540,BB1 4HQ,53.764833,-2.418969
541,BB1 4HR,53.765925,-2.417782
542,BB1 4HS,53.766440,-2.416801
543,BB1 4HT,53.766679,-2.417865
544,BB1 4HU,53.766877,-2.418034
545,BB1 4HW,53.765553,-2.416246
546,BB1 4HX,53.767541,-2.417206
547,BB1 4HY,53.767590,-2.417055
548,BB1 4HZ,53.767215,-2.416414
549,BB1 4JA,53.766784,-2.416091
550,BB1 4JB,53.767333,-2.415186
551,BB1 4JD,53.766069,-2.414020
552,BB1 4JE,53.766917,-2.414272
553,BB1 4JF,53.766938,-2.413362
554,BB1 4JG,53.767374,-2.414625
555,BB1 4JH,53.767808,-2.413492
556,BB1 4JJ,53.767282,-2.412592
557,BB1 4JN,53.767947,-2.412553
558,BB1 4JQ,53.767823,-2.414751
559,BB1 4JR,53.767594,-2.413368
560,BB1 4JS,53.766281,-2.411050
561,BB1 4JT,53.763687,-2.415029
562,BB1 4JU,53.763626,-2.414558
563,BB1 4JW,53.767231,-2.411848
564,BB1 4JX,53.764384,-2.413701
565,BB1 4JY,53.764836,-2.412795
566,BB1 4JZ,53.768236,-2.413905
567,BB1 4LA,53.768459,-2.414211
568,BB1 4LB,53.772889,-2.415636
569,BB1 4LD,53.767921,-2.417392
570,BB1 4LJ,53.768719,-2.415564
571,BB1 4LL,53.769794,-2.414058
572,BB1 4LN,53.769352,-2.414357
573,BB1 4LP,53.771337,-2.414710
574,BB1 4LQ,53.768198,-2.417941
575,BB1 4LR,53.771196,-2.413812
576,BB1 4LS,53.771147,-2.415118
577,BB1 4LT,53.771309,-2.415180
578,BB1 4LU,53.771342,-2.415787
579,BB1 4LW,53.769828,-2.414483
580,BB1 4LX,53.771775,-2.415291
581,BB1 4LY,53.772142,-2.415962
582,BB1 4NA,53.770652,-2.415341
583,BB1 4NB,53.769539,-2.414829
584,BB1 4ND,53.769291,-2.408363
585,BB1 4NF,53.770400,-2.402154
586,BB1 4NG,53.769165,-2.406056
587,BB1 4NL,53.768839,-2.409254
588,BB1 4NN,53.768955,-2.408739
589,BB1 4NP,53.768344,-2.409522
590,BB1 4NQ,53.770718,-2.411791
591,BB1 4NR,53.768111,-2.409429
592,BB1 4NS,53.768092,-2.411294
593,BB1 4NT,53.770260,-2.410860
594,BB1 4NW,53.768083,-2.409778
595,BB1 4NX,53.770476,-2.411698
596,BB1 4NY,53.770995,-2.411383
597,BB1 4NZ,53.769901,-2.409037
598,BB1 4PA,53.771327,-2.407154
599,BB1 4PB,53.769438,-2.407728
600,BB1 4PD,53.769424,-2.409047
601,BB1 4PE,53.769378,-2.409381
602,BB1 4PF,53.768558,-2.407355
603,BB1 4PG,53.769942,-2.407535
604,BB1 4PH,53.764004,-2.419553
606,BB1 4RA,53.764598,-2.411473
607,BB1 4RB,53.764071,-2.413334
608,BB1 4RD,53.765760,-2.410832
609,BB1 4RE,53.764999,-2.415163
610,AB23 8AA,57.185044,-2.096248
611,AB23 8AB,57.249546,-2.060289
612,AB23 8AD,57.251702,-2.060425
613,AB23 8AE,57.190772,-2.100250
614,AB23 8AG,57.193055,-2.098436
615,AB23 8AH,57.190800,-2.098861
617,AB23 8AP,57.199406,-2.099115
619,AB23 8AR,57.217948,-2.070537
620,AB23 8AT,57.179717,-2.084093
621,AB23 8AU,57.191404,-2.096298
622,AB23 8AW,57.192321,-2.096068
623,AB23 8AX,57.194946,-2.083307
624,AB23 8AZ,57.196191,-2.085636
625,AB23 8BA,57.190376,-2.089610
626,AB23 8BB,57.192549,-2.090427
627,AB23 8BD,57.201021,-2.089372
628,AB23 8BE,57.217223,-2.070707
629,AB23 8BJ,57.205476,-2.102111
630,AB23 8BL,57.186140,-2.088085
631,AB23 8BN,57.204612,-2.092376
632,AB23 8BP,57.205622,-2.086519
633,AB23 8BQ,57.211490,-2.072865
634,AB23 8BR,57.214033,-2.082251
635,AB23 8BS,57.216925,-2.082920
636,AB23 8BT,57.219277,-2.072261
637,AB23 8BU,57.186477,-2.090825
638,AB23 8BW,57.188786,-2.090268
639,AB23 8BX,57.178132,-2.089961
640,AB23 8BY,57.182829,-2.092074
641,AB23 8BZ,57.192931,-2.096864
642,AB23 8DA,57.181046,-2.084791
643,AB23 8DB,57.180119,-2.088147
644,AB23 8DD,57.178124,-2.087927
645,AB23 8DF,57.182149,-2.099780
646,AB23 8DJ,57.178143,-2.087232
647,AB23 8DL,57.177300,-2.088874
648,AB23 8DN,57.176902,-2.088685
649,AB23 8DP,57.177317,-2.086734
650,AB23 8DQ,57.177146,-2.087263
651,AB23 8DR,57.176456,-2.084880
652,AB23 8DS,57.176752,-2.085277
653,AB23 8DT,57.176373,-2.087509
654,AB23 8DU,57.180461,-2.086361
655,AB23 8DX,57.176534,-2.089031
656,AB23 8EA,57.176877,-2.089717
657,AB23 8EB,57.176964,-2.090603
658,AB23 8ED,57.178033,-2.090606
659,AB23 8EE,57.186490,-2.096285
660,AB23 8EF,57.189361,-2.093552
661,AB23 8EG,57.187025,-2.093182
662,AB23 8EH,57.190525,-2.105445
663,AB23 8EJ,57.178229,-2.092062
664,AB23 8EL,57.177806,-2.094162
665,AB23 8EN,57.177877,-2.094889
666,AB23 8EP,57.179144,-2.093867
667,AB23 8EQ,57.179279,-2.093239
668,AB23 8ER,57.178553,-2.092030
669,AB23 8ES,57.179163,-2.092230
670,AB23 8ET,57.179218,-2.090923
671,AB23 8EU,57.188833,-2.102403
672,AB23 8EW,57.187410,-2.095781
673,AB23 8EX,57.183062,-2.092223
674,AB23 8EY,57.188546,-2.098507
675,AB23 8EZ,57.186026,-2.092396
676,AB23 8FB,57.183110,-2.088170
677,AB23 8FD,57.183028,-2.090304
678,AB23 8FE,57.184705,-2.096766
679,AB23 8FF,57.191708,-2.097705
680,AB23 8FG,57.182013,-2.088829
681,AB23 8FP,57.177980,-2.089250
682,AB23 8FT,57.197040,-2.103180
